"","gene","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank_avg"
"265","ACTR3B",7582,8723,1282,10585,10989,7964,5710,2835,3544,8429,6764.3
"266","ACTR3C",13159,11573,1348,8738,6243,6552,9182,14966,10022,9909,9169.2
"267","ACTR5",8047,14833,3801,12400,6402,7331,11096,6331,1457,2233,7393.1
"268","ACTR6",3212,9148,12035,16516,11773,13919,8074,13408,9308,4628,10202.1
"269","ACTR8",267,14817,8678,4731,7996,5202,4274,7152,8158,7691,6896.6
"270","ACTRT1",NA,NA,NA,3611,NA,675,NA,9052,NA,NA,4446
"271","ACTRT2",NA,1161,NA,13826,NA,2530,NA,3691,NA,NA,5302
"272","ACTRT3",7287,8632,12221,17164,3112,7560,9121,16236,1791,1247,8437.1
"273","ACVR1",11118,11608,3183,12884,14032,14452,3956,12033,9482,8953,10170.1
"274","ACVR1B",10606,10136,11022,9571,12084,16133,12344,16001,11159,10108,11916.4
"275","ACVR1C",12933,7435,4843,2468,9842,13401,8615,2721,7603,2924,7278.5
"276","ACVR2A",10179,13633,10486,16345,12452,11746,12236,17653,6062,7941,11873.3
"277","ACVR2B",6402,3965,7386,4370,11667,6035,12435,6305,2129,826,6152
"278","ACVRL1",16363,15982,11141,17250,12024,18072,11784,5350,7334,12931,12823.1
"279","ACY1",7985,9806,3425,11420,1847,7143,7968,8226,2669,13117,7360.6
"280","ACY3",11264,16298,11142,16979,13050,10021,14897,13430,8877,10526,12648.4
"281","ACYP1",12009,12445,2945,7608,429,5673,5063,7375,4384,6477,6440.8
"282","ACYP2",11975,8354,7309,12691,NA,7868,12321,8921,7249,9545,9581.44444444445
"283","AD000671.6",1051,NA,NA,NA,4783,NA,3133,3916,NA,NA,3220.75
"284","ADA",5104,13563,2765,14303,7843,7561,12251,10125,6830,7757,8810.2
"285","ADAD1",NA,1271,NA,765,NA,2399,NA,7778,NA,NA,3053.25
"286","ADAD2",5036,2568,NA,4328,8496,7457,3798,1160,NA,NA,4691.85714285714
"287","ADAL",4747,3717,6774,14648,9883,7866,2793,17299,84,4776,7258.7
"288","ADAM10",11165,6038,4433,9120,10393,12164,8267,10963,8592,7642,8877.7
"289","ADAM11",640,3040,NA,1639,2076,10743,1389,4530,NA,748,3100.625
"290","ADAM12",13330,15275,12936,10558,9755,16273,14674,16000,10935,12763,13249.9
"291","ADAM15",16065,16693,11114,17838,13069,16457,14236,9514,9451,13056,13749.3
"292","ADAM17",10272,6613,11535,12347,11573,14374,11199,14179,9994,12946,11503.2
"293","ADAM18",NA,NA,NA,1011,653,3459,NA,3954,NA,NA,2269.25
"294","ADAM19",10144,14293,11200,16908,14561,12801,14555,17200,10093,11751,13350.6
"295","ADAM2",NA,NA,NA,395,1134,1578,NA,7944,NA,NA,2762.75
"296","ADAM20",5790,7431,NA,8467,3436,1935,2811,5811,670,NA,4543.875
"297","ADAM21",NA,3693,NA,2241,80,7378,NA,451,NA,NA,2768.6
"298","ADAM22",8033,9306,5265,5283,5940,10446,6637,14791,1131,4564,7139.6
"299","ADAM23",10051,3208,12564,9034,6155,13201,12006,16938,1563,4963,8968.3
"300","ADAM28",16428,16778,13252,17969,15087,17612,15923,17879,11971,14038,15693.7
"301","ADAM29",2763,123,NA,3178,2287,10153,4952,5184,NA,5897,4317.125
"302","ADAM30",704,NA,NA,4231,NA,2890,NA,236,NA,NA,2015.25
"303","ADAM32",4357,5826,NA,3422,2675,13044,1623,2252,NA,9029,5278.5
